permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,overview,tag_list,image1,image2,image3,number_of_employees,office_latitude,office_longitude
/company/the-printers-inc,The Printers Inc,http://www.theprintersinc.co.uk,ecommerce,"40,000",operating,,,unknown,,1,12/31/07, 2012-01 ,2012-Q1,2012,3/31/09,3/31/09,10/2/09,,,,,,,,
/company/the-rainmaker-group,The Rainmaker Group,http://www.letitrain.com,software,"42,800,000",operating,USA,GA,Atlanta,Alpharetta,2,,,,,9/12/07,10/29/08,10/29/08,,,,,,,,
/company/the-realreal,The RealReal,http://www.therealreal.com,ecommerce,"21,500,000",operating,USA,CA,SF Bay,San Francisco,3,2/28/07, 2011-03 ,2011-Q1,2011,12/31/07,4/1/09,12/31/09,,,,,,,,
/company/the-receivables-exchange,The Receivables Exchange,http://www.receivablesxchange.com,ecommerce,"39,750,000",operating,USA,LA,New Orleans,New Orleans,4,3/31/03, 2007-04 ,2007-Q2,2007,9/30/03,6/23/09,12/31/08,,,,,,,,
/company/the-resumator,The Resumator,http://www.theresumator.com,software,"2,975,000",operating,USA,PA,Pittsburg,Pittsburgh,5,1/5/05, 2009-01 ,2009-Q1,2009,12/31/04,10/29/08,10/28/08,,,,,,,,
/company/the-runthrough,The Runthrough,http://therunthrough.com,fashion,"1,200,000",operating,USA,NY,New York,New York,1,9/30/07, 2011-10 ,2011-Q4,2011,8/29/09,8/29/09,,,,,,,,,
/company/the-sandpit,The Sandpit,http://www.thesandpit.com,software,,operating,GBR,,London,London,1,7/31/06, 2010-08 ,2010-Q3,2010,6/30/08,6/30/08,11/30/07,,,,,,,,
/company/the-scene,The Scene,http://www.thescene.com,games_video,,operating,,,unknown,,1,12/31/05, 2010-01 ,2010-Q1,2010,12/31/04,12/31/04,2/11/05,,,,,,,,
/company/the-scholars-club-inc,"The Scholars Club, Inc.",,education,"137,000",operating,,,unknown,,4,4/19/08, 2012-04 ,2012-Q2,2012,7/31/08,12/31/09,2/12/10,,,,,,,,
/company/the-scripps-research-institute,The Scripps Research Institute,http://scripps.edu,education,"29,000,000",operating,USA,CA,San Diego,La Jolla,1,12/10/20, 1924-12 ,1924-Q4,1924,10/21/09,10/21/09,12/31/04,,,,,,,,
